term1,term2,count
chicken,grilled, 1662
chicken,chicken, 1354
cheese,chicken, 1322
chicken,sauce, 1252
chicken,salad, 1156
chicken,sauce, 1096
chicken,tomatoes, 1030
chicken,onions, 1024
chicken,rice, 992
breast,chicken, 960
chicken,fried, 950
chicken,red, 916
chicken,peppers, 904
chicken,lettuce, 814
chicken,fresh, 808
chicken,roasted, 744
beef,chicken, 730
chicken,tomato, 682
chicken,pork, 676
chicken,shrimp, 654
chicken,marinated, 632
chicken,spicy, 594
bacon,chicken, 576
grilled,chicken, 572
chicken,egg, 548
bbq,chicken, 540
boneless,chicken, 534
chicken,garlic, 526
chicken,onion, 524
chicken,green, 516
chicken,crispy, 496
chicken,cooked, 464
basil,chicken, 460
chicken,curry, 456
chicken,dressing, 456
broccoli,chicken, 448
caesar,chicken, 444
chicken,white, 440
cheese,peppers, 436
chicken,sweet, 430
chicken,sliced, 416
onions,peppers, 416
chicken,pepper, 408
fried,rice, 408
chicken,hot, 404
chicken,mushrooms, 400
chicken,romaine, 392
chicken,vegetables, 390
grilled,salad, 388
chicken,thai, 386
chicken,soup, 384
chicken,mixed, 372
buffalo,chicken, 372
chicken,sauteed, 368
chicken,lemon, 360
bacon,cheese, 358
chicken,noodle, 356
chicken,special, 350
all-natural,chicken, 348
chicken,teriyaki, 340
chicken,sour, 338
chicken,noodles, 338
chicken,rice, 336
carrots,chicken, 334
cheese,tomatoes, 334
avocado,chicken, 330
chicken,mozzarella, 330
cheese,chicken, 328
bell,chicken, 322
peppers,red, 308
cheese,grilled, 308
buffalo,chicken, 308
chicken,salad, 302
chicken,spinach, 302
black,chicken, 300
chicken,wings, 298
beef,pork, 290
chicken,dressing, 288
chicken,corn, 288
chicken,saut\\\\xc3\\\\xa9ed, 286
cheese,sauce, 278
chicken,grilled, 276
cheese,olives, 276
chicken,wrap, 274
chicken,cooked, 272
blue,chicken, 272
onions,red, 272
chicken,fingers, 272
cheddar,chicken, 272
onions,tomatoes, 270
green,peppers, 266
chicken,olives, 266
chicken,meat, 264
chicken,flatbread, 264
chicken,cilantro, 264
grilled,lettuce, 260
chicken,peanut, 260
peppers,roasted, 258
fried,pork, 258
chicken,tender, 258
chicken,vegetables, 258
beans,chicken, 252
breast,grilled, 246
chicken,chili, 244
cheese,onions, 244
chicken,smoked, 242
chicken,cucumbers, 242
bean,chicken, 242
chicken,ginger, 240
chicken,stirfried, 240
chicken,sauce, 236
chicken,spices, 232
chicken,greens, 232
chicken,pesto, 230
chicken,cheese, 228
grilled,tomatoes, 226
chicken,sandwich, 224
chicken,cream, 224
chicken,feta, 220
chicken,breast, 218
lettuce,tomatoes, 218
cheese,lettuce, 218
chicken,tikka, 218
cheese,red, 216
chicken,roll, 216
rice,shrimp, 216
bbq,chicken, 216
egg,fried, 216
red,roasted, 214
fried,shrimp, 212
egg,rice, 212
chicken,sesame, 212
beef,rice, 210
chicken,shredded, 210
green,onions, 208
cheese,green, 208
caesar,salad, 208
pork,rice, 206
chicken,homemade, 204
grilled,peppers, 204
chicken,sauce, 202
peppers,tomatoes, 202
blue,cheese, 202
chicken,tossed, 200
cheese,hot, 200
caesar,romaine, 200
chicken,pizza, 200
chicken,parmesan, 198
onion,red, 198
bacon,tomatoes, 198
spicy,chicken, 196
cheese,salad, 196
grilled,red, 196
cheese,roasted, 196
chicken,boneless, 196
chicken,caesar, 194
grilled,onions, 194
chicken,tandoori, 192
chicken,scallions, 188
chicken,spices, 184
olives,peppers, 182
chicken,pineapple, 182
chicken,herbs, 182
chicken,lamb, 180
grilled,sauce, 180
noodle,soup, 180
chicken,honey, 178
bleu,chicken, 178
cheese,tomato, 178
caesar,grilled, 176
chicken,side, 176
bell,peppers, 174
thai,chicken, 174
grilled,tomato, 174
chicken,fresh, 172
pepper,red, 172
red,tomatoes, 172
chicken,tenders, 170
chicken,tomato, 170
fried,rice, 170
chicken,potatoes, 168
chicken,greek, 168
chicken,ground, 168
lettuce,salad, 168
chicken,diced, 166
chicken,sausage, 166
beef,fried, 166
chicken,onions, 164
caesar,croutons, 164
cheddar,cheese, 162
sour,sweet, 160
cheese,sausage, 160
black,cheese, 160
fresh,grilled, 160
fresh,salad, 158
green,red, 158
cheese,spinach, 158
lettuce,tomato, 156
garlic,sauce, 154
cheese,feta, 154
bbq,cheese, 154
hot,peppers, 154
dressing,grilled, 154
chicken,vinaigrette, 152
chicken,strips, 152
grilled,marinated, 152
breast,cheese, 152
caesar,cheese, 152
chicken,tomatoes, 152
boneless,cooked, 150
chicken,yogurt, 150
antibioticfree,chicken, 150
chicken,turkey, 150
chicken,chicken, 150
chicken,style, 150
chicken,salad, 148
chicken,tofu, 148
cheese,ham, 148
pork,rice, 146
cheese,dressing, 146
chicken,ham, 146
mushrooms,peppers, 146
chicken,mushroom, 144
chicken,vegetarian, 144
red,salad, 144
chicken,french, 142
lettuce,red, 142
chicken,mesclun, 142
rice,sauce, 142
bacon,peppers, 142
chicken,house, 142
grilled,roasted, 142
chicken,scallion, 142
cheese,fresh, 142
chicken,pieces, 142
noodles,rice, 140
salad,tomatoes, 140
peppers,sauce, 140
caesar,dressing, 140
chicken,garden, 140
fresh,tomatoes, 140
mushrooms,onions, 138
chicken,marinated, 138
chicken,creamy, 138
roasted,salad, 138
dressing,tomatoes, 138
chicken,steak, 138
caesar,parmesan, 138
breast,sliced, 138
chicken,eggplant, 138
onion,pepper, 138
cheese,garlic, 136
avocado,cheese, 136
chicken,mustard, 136
cheese,wrap, 136
fried,sauce, 136
chicken,lettuce, 134
bed,chicken, 134
chicken,vegetable, 134
onion,tomato, 134
chicken,lg, 134
olives,tomatoes, 132
lettuce,onions, 132
bread,chicken, 132
chicken,peas, 132
chicken,ranch, 132
l,chicken, 132
chicken,crab, 132
bbq,sauce, 132
breast,red, 132
caesar,lettuce, 130
chicken,two, 130
baby,chicken, 130
garlic,peppers, 130
fresh,onions, 130
avocado,tomatoes, 130
pork,shrimp, 128
broth,chicken, 128
cucumbers,tomatoes, 128
beef,shrimp, 128
bacon,grilled, 126
meat,white, 126
onions,sauce, 126
celery,chicken, 126
red,sauce, 124
chicken,lime, 124
curry,rice, 124
grilled,romaine, 124
onions,sauce, 124
sauce,spicy, 122
chicken,chipotle, 122
chicken,juice, 122
chicken,steamed, 122
peppers,sauce, 122
fresh,sauce, 122
avocado,bacon, 122
asian,chicken, 122
onions,roasted, 122
breast,sauce, 122
buffalo,cheese, 122
chicken,pulled, 122
chicken,soy, 120
chicken,peanuts, 120
sauce,sweet, 120
fresh,peppers, 120
chicken,platter, 120
cheese,provolone, 118
olives,onions, 118
crispy,chicken, 118
breast,onions, 118
bell,onions, 118
caesar,dressing, 116
chicken,jack, 116
basil,hot, 116
greens,grilled, 116
cheese,romaine, 116
noodle,rice, 116
fried,green, 116
grilled,rice, 116
chicken,seasoned, 116
c,chicken, 116
add,chicken, 114
breast,lettuce, 114
chicken,mango, 114
chicken,wine, 114
chicken,croutons, 114
broccoli,cheese, 114
chicken,cucumber, 114
carrot,chicken, 114
cheese,parmesan, 112
broccoli,peppers, 112
rice,vegetables, 112
egg,noodle, 112
cheese,dressing, 112
chicken,flour, 112
cooked,sauce, 112
alfredo,chicken, 112
basil,red, 112
chicken,lemongrass, 112
bell,red, 112
dressing,salad, 112
chicken,peppers, 112
roasted,tomatoes, 110
chicken,traditional, 110
grilled,grilled, 110
chicken,oil, 110
lettuce,wrap, 110
chicken,spices, 110
chicken,toasted, 110
cheese,pineapple, 110
greens,salad, 110
cheese,sweet, 110
bacon,cheddar, 110
egg,shrimp, 110
chicken,tortilla, 110
sauce,vegetables, 108
breast,sauce, 108
chicken,masala, 108
red,sliced, 108
breast,chicken, 108
peanut,thai, 108
grilled,sauce, 108
cheese,eggplant, 108
mediterranean,chicken, 108
chicken,spring, 108
sauce,tomato, 108
chicken,sprouts, 108
chicken,provolone, 108
chicken,white, 108
broccoli,chicken, 106
olives,red, 106
buffalo,cheese, 106
basil,cheese, 106
peppers,pineapple, 106
green,tomatoes, 106
chicken,vinaigrette, 106
romaine,tomatoes, 106
fresh,red, 106
chicken,rangoon, 106
bacon,olives, 106
boneless,fried, 106
fried,wings, 104
green,olives, 104
dressing,lettuce, 104
fresh,mozzarella, 104
buffalo,buffalo, 104
bell,pepper, 104
peppers,sausage, 104
sauce,tomatoes, 104
the,chicken, 102
buffalo,sauce, 102
beef,noodles, 102
basil,peppers, 102
breaded,chicken, 102
sauce,sweet, 102
chicken,then, 102
green,sliced, 102
chicken,zucchini, 102
chicken,dish, 100
noodles,pork, 100
egg,salad, 100
bacon,onions, 100
breast,peppers, 100
egg,pork, 100
tandoori,chicken, 100
breast,marinated, 100
asiago,caesar, 100
sauce,spicy, 100
mozzarella,sauce, 100
cheese,jalape\\\\xc3\\\\xb1o, 100
broccoli,garlic, 100
bacon,bbq, 100
cheese,extra, 100
cheese,sundried, 100
